,host_location,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,en_bookable__f,en_bookable__t,en_id_ver__f,en_id_ver__t,en_room_type__Entire home/apt,en_room_type__Hotel room,en_room_type__Private room,en_available__f,en_available__t,en_profilepic__f,en_profilepic__t,en_prop_type__Boat,en_prop_type__Camper/RV,en_prop_type__Casa particular,en_prop_type__Dome,en_prop_type__Entire bungalow,en_prop_type__Entire cabin,en_prop_type__Entire chalet,en_prop_type__Entire condo,en_prop_type__Entire cottage,en_prop_type__Entire guest suite,en_prop_type__Entire guesthouse,en_prop_type__Entire home,en_prop_type__Entire loft,en_prop_type__Entire place,en_prop_type__Entire rental unit,en_prop_type__Entire serviced apartment,en_prop_type__Entire townhouse,en_prop_type__Entire vacation home,en_prop_type__Entire villa,en_prop_type__Farm stay,en_prop_type__Houseboat,en_prop_type__Island,en_prop_type__Private room,en_prop_type__Private room in barn,en_prop_type__Private room in bed and breakfast,en_prop_type__Private room in boat,en_prop_type__Private room in bungalow,en_prop_type__Private room in casa particular,en_prop_type__Private room in chalet,en_prop_type__Private room in condo,en_prop_type__Private room in cottage,en_prop_type__Private room in earthen home,en_prop_type__Private room in farm stay,en_prop_type__Private room in guest suite,en_prop_type__Private room in guesthouse,en_prop_type__Private room in home,en_prop_type__Private room in loft,en_prop_type__Private room in minsu,en_prop_type__Private room in rental unit,en_prop_type__Private room in resort,en_prop_type__Private room in serviced apartment,en_prop_type__Private room in tiny home,en_prop_type__Private room in townhouse,en_prop_type__Private room in vacation home,en_prop_type__Private room in villa,en_prop_type__Religious building,en_prop_type__Room in aparthotel,en_prop_type__Room in bed and breakfast,en_prop_type__Room in boutique hotel,en_prop_type__Room in hotel,en_prop_type__Room in serviced apartment,en_prop_type__Shipping container,en_prop_type__Tiny home,en_res_time__a few days or more,en_res_time__within a day,en_res_time__within a few hours,en_res_time__within an hour,en_issuperhost__f,en_issuperhost__t
124113,"Bristol, United Kingdom",100,100,1.0,1.0,2,1.0,1.0,50,1,21,1.0,1.0,21.0,21.0,1.0,21.0,0,0,0,0,1,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,1.0,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
124115,"Bristol, United Kingdom",100,92,1.0,1.0,2,1.0,1.0,93,2,30,2.0,2.0,30.0,30.0,2.0,30.0,21,48,78,168,21,18,0,4.81,4.86,4.81,4.86,5.0,4.9,4.57,1,1,0,0,1.57,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
124138,"Bristol, United Kingdom",100,98,2.0,3.0,2,1.0,1.0,66,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,13,9,0,4.77,4.85,4.85,4.92,4.92,5.0,4.69,2,1,1,0,0.99,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124151,"Oxford, United Kingdom",100,100,1.0,1.0,2,1.0,1.0,60,1,4,1.0,1.0,4.0,4.0,1.0,4.0,0,0,1,177,17,14,2,4.94,4.88,4.94,4.88,4.88,4.71,4.88,1,1,0,0,1.29,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
124155,"England, United Kingdom",100,100,1.0,1.0,4,2.0,2.0,101,2,365,2.0,3.0,365.0,365.0,2.0,365.0,2,6,6,6,4,4,0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.33,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124159,"England, United Kingdom",100,100,3.0,3.0,2,1.0,1.0,62,2,365,2.0,2.0,365.0,365.0,2.0,365.0,5,5,19,104,31,27,0,5.0,5.0,5.0,5.0,4.97,4.77,4.94,3,1,2,0,2.36,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124164,"Bristol, United Kingdom",100,100,1.0,1.0,5,3.0,3.0,500,2,7,2.0,2.0,7.0,7.0,2.0,7.0,23,53,83,358,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1.0,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124224,"Bristol, United Kingdom",100,98,1.0,2.0,2,1.0,1.0,75,1,30,1.0,1.0,30.0,30.0,1.0,30.0,29,55,85,355,28,25,2,4.96,4.93,5.0,4.93,4.96,4.89,4.79,1,0,1,0,2.16,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
124230,"England, United Kingdom",100,100,3.0,3.0,4,1.0,2.0,95,2,365,2.0,2.0,365.0,365.0,2.0,365.0,5,6,20,105,7,7,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,1,2,0,0.65,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124233,"Bristol, United Kingdom",100,98,2.0,3.0,4,2.0,2.0,158,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,0,16,16,0,4.69,4.88,4.63,4.88,5.0,4.94,4.81,2,1,1,0,1.31,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124234,"Bristol, United Kingdom",100,85,5.0,7.0,2,1.0,1.0,43,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,13,42,251,6,6,1,5.0,5.0,4.83,5.0,4.83,5.0,4.67,2,0,2,0,1.49,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
124235,"Bristol, United Kingdom",100,91,1.0,1.0,1,1.0,1.0,35,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0,9,39,69,69,31,29,2,4.9,4.97,4.94,4.9,4.9,4.71,4.87,1,0,1,0,2.44,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
124236,"Bristol, United Kingdom",100,92,3.0,3.0,4,1.0,2.0,130,2,365,2.0,2.0,365.0,365.0,2.0,365.0,14,36,66,241,5,5,0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,3,1,2,0,0.43,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
